event_name,description,object_name,event_time,orbit_number,periap_time,event_data
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-358T23:40:59.252,28,+00000T10:21:55.760,{"event-data":" 8.835537462111389E-01 1.640784009182862E-01 1.800000000000000E+02 1.232278538435101E+02 1.205281202856778E+01 2.559727562595565E+02 1.107867530314929E+02 3.179014745531006E+02 2.608764380024257E+02 3.399099424324663E+08 7.974563850406183E-01 7.463151959230211E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-359T01:25:14.832,28,+00000T11:58:38.758,{"event-data":" 7.734598751624178E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-359T07:08:30.611,28,+00000T18:03:22.365,{"event-data":" 3.354117720631011E+02 06:06:00 "}
PERIAP,Periapsis,BENNU,2020-359T10:11:10.327,28,+00000T20:28:29.560,{"event-data":" 8.762620353268114E-01 1.489518912870299E-01 0.000000000000000E+00 1.226036059156428E+02 1.265210455523150E+01 2.571479220133618E+02 1.059493831592075E+02 1.367453859230856E+02 7.517617490283060E+01 3.398282139810894E+08 5.081027211255935E-01 1.759704880632418E+02 1.760150849816264E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-359T11:04:44.829,28,+00000T00:59:05.442,{"event-data":" 5.033161246373943E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-359T15:38:34.318,28,+00000T05:27:30.504,{"event-data":" 1.634434486002286E+02 18:08:30 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-359T20:34:44.510,29,+00000T10:21:52.521,{"event-data":" 8.835026160280909E-01 1.636738199624293E-01 1.800000000000000E+02 1.233221677764250E+02 1.284534549603365E+01 2.561334299402906E+02 1.110479333332127E+02 6.685400783445059E+00 2.608360658110943E+02 3.397457890058253E+08 7.978356726155624E-01 7.462504143282166E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-359T22:19:55.833,29,+00000T11:59:27.772,{"event-data":" 7.729298614595322E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-360T04:02:47.252,29,+00000T18:04:01.179,{"event-data":" 2.297993852294768E+01 06:05:32 "}
PERIAP,Periapsis,BENNU,2020-360T07:04:47.362,29,+00000T20:29:41.821,{"event-data":" 8.768346335142875E-01 1.492069235411613E-01 0.000000000000000E+00 1.226964754871283E+02 1.344636000149945E+01 2.572686419381728E+02 1.062382741232121E+02 1.858213758336930E+02 7.505251945929723E+01 3.396609457852653E+08 5.053490450012187E-01 1.787720479813218E+02 1.759089476432843E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-360T07:59:03.275,29,+00000T00:59:47.254,{"event-data":" 5.038504943892056E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-360T12:33:22.358,29,+00000T05:28:24.350,{"event-data":" 2.102761261262181E+02 18:08:00 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-360T17:29:13.666,30,+00000T10:22:43.606,{"event-data":" 8.843088398161164E-01 1.639482161448614E-01 1.800000000000000E+02 1.234181957037391E+02 1.364940845841340E+01 2.563030528895180E+02 1.113165323564468E+02 5.450983848595886E+01 2.608192456416301E+02 3.395753170152683E+08 8.023365328448854E-01 7.472721126101559E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-360T19:15:36.763,30,+00000T12:01:30.077,{"event-data":" 7.738787922577262E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-361T00:58:37.534,30,+00000T18:06:35.415,{"event-data":" 6.835391221437888E+01 06:05:00 "}
PERIAP,Periapsis,BENNU,2020-361T04:00:29.491,30,+00000T00:00:00.000,{"event-data":" 8.778349823577175E-01 1.501515391823514E-01 0.000000000000000E+00 1.227893368142775E+02 1.426251353347205E+01 2.576186285450108E+02 1.062766505415829E+02 2.317594605654086E+02 7.497715411873445E+01 3.394872014493126E+08 5.147199256115788E-01 1.814355961658577E+02 1.757934372240011E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-361T04:54:50.743,30,+00000T00:59:50.194,{"event-data":" 5.040298462779325E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-361T09:29:22.004,30,+00000T05:28:34.631,{"event-data":" 2.554266651693242E+02 18:07:28 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-361T14:26:12.283,31,+00000T10:23:55.209,{"event-data":" 8.854382662057970E-01 1.647259211370628E-01 1.800000000000000E+02 1.235137206112034E+02 1.447979931170705E+01 2.567309769735662E+02 1.113377429608831E+02 9.882294830417312E+01 2.608340868364453E+02 3.393983301642247E+08 8.016837206086213E-01 7.487041772319404E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-361T16:12:48.309,31,+00000T12:02:55.576,{"event-data":" 7.758985399456790E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-361T21:56:38.120,31,+00000T18:07:51.818,{"event-data":" 1.106777123147028E+02 06:04:25 "}
PERIAP,Periapsis,BENNU,2020-362T00:59:17.218,31,+00000T20:32:57.138,{"event-data":" 8.783814063250792E-01 1.507867692424501E-01 0.000000000000000E+00 1.228756848889456E+02 1.509928020250933E+01 2.583114685110676E+02 1.059408564497957E+02 2.730734207120480E+02 7.498538410918178E+01 3.393068698507882E+08 5.103895970778299E-01 1.837951820946457E+02 1.756729411559776E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-362T01:52:52.087,31,+00000T00:58:56.320,{"event-data":" 5.038619771734058E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-362T06:27:04.706,31,+00000T05:27:28.154,{"event-data":" 2.981615088381234E+02 18:06:52 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-362T11:26:01.272,32,+00000T10:24:43.229,{"event-data":" 8.861952958654072E-01 1.654854591956668E-01 1.800000000000000E+02 1.236013456612310E+02 1.533548518067850E+01 2.575164101795544E+02 1.110009339743807E+02 1.390677695952878E+02 2.608691845206158E+02 3.392148066832684E+08 8.005946122884111E-01 7.496645701038804E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-362T13:11:09.009,32,+00000T12:02:25.863,{"event-data":" 7.779414405542183E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-362T18:56:11.403,32,+00000T18:07:15.861,{"event-data":" 1.508297610403712E+02 06:03:47 "}
PERIAP,Periapsis,BENNU,2020-362T22:00:27.070,32,+00000T20:32:40.263,{"event-data":" 8.782478223229855E-01 1.506671863692227E-01 0.000000000000000E+00 1.229498924579883E+02 1.594580063962224E+01 2.592601959895841E+02 1.053242754274800E+02 3.108521660687732E+02 7.506404298746020E+01 3.391200810994330E+08 5.054709606447997E-01 1.858069661576994E+02 1.755509821939931E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-362T22:52:38.415,32,+00000T00:57:21.918,{"event-data":" 5.035801437743875E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-363T03:26:06.134,32,+00000T05:25:04.739,{"event-data":" 3.390502991682922E+02 18:06:13 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-363T08:27:37.355,33,+00000T10:24:45.600,{"event-data":" 8.862326781389173E-01 1.655929594990569E-01 1.800000000000000E+02 1.236743901990578E+02 1.620657797383582E+01 2.585933650015318E+02 1.103618092287391E+02 1.766879645634834E+02 2.609036454229154E+02 3.390249323807988E+08 8.051300149103463E-01 7.497120051246892E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-363T10:09:41.301,33,+00000T11:59:46.115,{"event-data":" 7.790015512173930E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-363T15:55:53.723,33,+00000T18:05:05.411,{"event-data":" 1.907606219341602E+02 06:03:07 "}
PERIAP,Periapsis,BENNU,2020-363T19:02:17.785,33,+00000T20:31:37.786,{"event-data":" 8.777531594897715E-01 1.498963834541639E-01 0.000000000000000E+00 1.230103008381852E+02 1.679841098505580E+01 2.603304847985073E+02 1.045757737071368E+02 3.475621617902639E+02 7.518403224067802E+01 3.389271283316047E+08 5.025680821866858E-01 1.875855943528154E+02 1.754292925275809E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-363T19:52:49.946,33,+00000T00:55:33.263,{"event-data":" 5.034676826573170E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-364T00:25:22.410,33,+00000T05:22:06.194,{"event-data":" 1.958451345548000E+01 18:05:32 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-364T05:29:12.108,34,+00000T10:24:05.144,{"event-data":" 8.855949252747628E-01 1.646783320714615E-01 1.800000000000000E+02 1.237304341145784E+02 1.708486822502657E+01 2.597969324290407E+02 1.095823718836058E+02 2.142195487029651E+02 2.609197384380325E+02 3.388290309697430E+08 7.971995051928057E-01 7.489028864334116E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-364T07:07:19.431,34,+00000T11:55:30.878,{"event-data":" 7.785900153933875E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-364T12:54:17.632,34,+00000T18:02:00.213,{"event-data":" 2.325097329092761E+02 06:02:25 "}
PERIAP,Periapsis,BENNU,2020-364T16:03:01.774,34,+00000T20:30:26.206,{"event-data":" 8.771862505819755E-01 1.485880545746765E-01 0.000000000000000E+00 1.230574428560118E+02 1.766134656859411E+01 2.614051098552254E+02 1.038314764304824E+02 2.581751582046674E+01 7.531678868247251E+01 3.387283522600142E+08 5.068191864514239E-01 1.893196760390021E+02 1.753077225444610E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-364T16:51:57.786,34,+00000T00:53:53.132,{"event-data":" 5.037736725128743E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-364T21:58:03.717,34,+00000T06:13:35.007,{"event-data":" 1.527840629533018E+01 18:12:14 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-365T04:13:49.862,35,+00000T12:27:58.094,{"event-data":" 9.992198379348898E-01 2.717385891617356E-01 1.800000000000000E+02 1.245170506991057E+02 1.601170222772161E+01 2.507368173962661E+02 1.192491289011992E+02 1.175633681783828E+02 2.632525171077704E+02 3.386104102074766E+08 1.042222137681529E+00 8.975618749744592E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-365T07:32:11.946,35,+00000T15:39:13.931,{"event-data":" 9.736869974173789E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-365T14:13:23.559,35,+00000T22:40:38.176,{"event-data":" 2.714778913498828E+02 06:07:29 "}
PERIAP,Periapsis,BENNU,2020-365T16:47:50.320,35,+00000T00:00:00.000,{"event-data":" 9.867629840335039E-01 2.595897281152088E-01 0.000000000000000E+00 1.238435863221184E+02 1.715584821562672E+01 2.522242802945759E+02 1.130724710246858E+02 1.170393923830236E+02 7.206081757270013E+01 3.384866465543898E+08 5.092246739270930E-01 1.874162643223273E+02 1.743407597171645E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-365T17:54:45.620,35,+00000T01:10:47.685,{"event-data":" 5.014503369209500E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-365T22:59:19.516,35,+00000T06:12:23.186,{"event-data":" 7.731893332949328E+01 18:09:56 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-366T05:14:50.505,36,+00000T12:26:32.427,{"event-data":" 9.979478469269855E-01 2.697488795107314E-01 1.800000000000000E+02 1.248421864930867E+02 1.759169835626304E+01 2.517919698263742E+02 1.190619212117384E+02 1.809176290678245E+02 2.632301931132579E+02 3.383619646738042E+08 1.035740947578923E+00 8.958485474737934E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-366T08:30:13.453,36,+00000T15:35:04.263,{"event-data":" 9.722863504901843E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-366T15:11:48.463,36,+00000T22:36:23.409,{"event-data":" 3.374902502829300E+02 06:05:09 "}
PERIAP,Periapsis,BENNU,2020-366T17:47:17.654,36,+00001T00:26:54.403,{"event-data":" 9.862506002050374E-01 2.574714026386069E-01 0.000000000000000E+00 1.241502498815000E+02 1.872065073313123E+01 2.531178963906447E+02 1.129874789043887E+02 1.824731585907172E+02 7.201570565320007E+01 3.382343036175837E+08 4.918768074456954E-01 1.942379286571285E+02 1.740155479545489E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-366T18:54:07.658,36,+00000T01:10:38.510,{"event-data":" 5.032432152245663E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-366T23:54:09.447,36,+00000T05:41:24.502,{"event-data":" 1.469864461406714E+02 18:02:11 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-001T07:32:25.782,37,+00000T13:18:03.110,{"event-data":" 1.043341168306477E+00 1.446686456199739E-01 1.800000000000000E+02 1.185455213424456E+02 1.941191759443020E+01 2.781437087652529E+02 9.080983502049889E+01 7.633983409184523E+01 8.649280991080268E+01 3.380919360870897E+08 9.511819394633434E-01 9.576621915941655E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-001T07:52:37.306,37,+00000T13:37:17.699,{"event-data":" 9.518860906094226E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-001T15:40:43.622,37,+00000T21:44:27.143,{"event-data":" 8.359288337235456E+01 05:58:21 "}
PERIAP,Periapsis,BENNU,2021-001T20:54:54.520,37,+00001T02:25:23.688,{"event-data":" 1.038669159740499E+00 1.327843347167960E-01 0.000000000000000E+00 1.175184383825430E+02 1.963065015483399E+01 2.777884611251238E+02 9.109811513116614E+01 2.278855496841538E+01 8.626183239943659E+01 3.379511068567731E+08 6.524945544229610E-01 9.386179407318370E+00 1.794338965993338E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-001T21:07:55.594,37,+00000T00:14:08.281,{"event-data":" 6.503614569799595E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-002T02:43:09.645,37,+00000T05:46:25.613,{"event-data":" 5.910574623747654E+01 18:02:18 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-002T10:16:18.301,38,+00000T13:18:08.255,{"event-data":" 1.043415913178328E+00 1.446647861331123E-01 1.800000000000000E+02 1.184568549146616E+02 2.015676150600846E+01 2.773231345125150E+02 9.196274647547874E+01 3.479493173288243E+00 8.569062402883756E+01 3.378081460825449E+08 9.547473642357877E-01 9.577651036932209E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-002T10:43:19.438,38,+00000T13:43:52.039,{"event-data":" 9.516980607742924E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-002T18:29:36.789,38,+00000T21:49:25.539,{"event-data":" 3.558707950501219E+02 05:58:26 "}
PERIAP,Periapsis,BENNU,2021-002T23:39:18.191,38,+00000T00:00:00.000,{"event-data":" 1.038301506720620E+00 1.324367630684614E-01 0.000000000000000E+00 1.174269403726979E+02 2.039127035020494E+01 2.770960912198886E+02 9.172725787139383E+01 3.056995887327756E+02 8.537246444135086E+01 3.376625832928368E+08 6.548231183641229E-01 1.227852939782688E+01 1.794524198842852E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-002T23:55:48.561,38,+00000T00:17:55.583,{"event-data":" 6.505636640536840E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-003T05:32:10.944,38,+00000T05:51:06.050,{"event-data":" 3.311952259545567E+02 18:02:23 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-003T13:00:32.643,39,+00000T13:18:00.652,{"event-data":" 1.043305475107329E+00 1.444969931304870E-01 1.800000000000000E+02 1.183743800483933E+02 2.090809421788315E+01 2.766319955344965E+02 9.307702702911688E+01 2.881807627465733E+02 2.651308693815288E+02 3.375150379321969E+08 9.546686431012904E-01 9.576130488937536E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-003T13:33:37.098,39,+00000T13:49:28.446,{"event-data":" 9.510935409358275E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-003T21:18:04.749,39,+00000T21:53:35.076,{"event-data":" 2.687326802008334E+02 05:58:32 "}
PERIAP,Periapsis,BENNU,2021-004T02:23:59.102,39,+00001T02:24:19.028,{"event-data":" 1.038198418657118E+00 1.325006858733639E-01 0.000000000000000E+00 1.173427059605300E+02 2.116270472300410E+01 2.765861369433690E+02 9.232156274649996E+01 2.272956133671544E+02 8.468015334697304E+01 3.373647884893017E+08 6.584908933976147E-01 1.477765065622281E+01 1.794844002451668E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-004T02:43:22.359,39,+00000T00:21:03.328,{"event-data":" 6.505705100813655E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-004T08:20:40.981,39,+00000T05:55:05.063,{"event-data":" 2.440100052950527E+02 18:02:29 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-004T15:44:54.565,40,+00000T13:17:57.460,{"event-data":" 1.043259104171645E+00 1.446431998576998E-01 1.800000000000000E+02 1.182984989689089E+02 2.166509003620961E+01 2.760462556744882E+02 9.411618767390394E+01 2.114077783248071E+02 2.647281492711863E+02 3.372127268016065E+08 9.524266790280486E-01 9.575492062502367E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-004T16:23:26.692,40,+00000T13:54:35.136,{"event-data":" 9.508665094529057E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-005T00:06:25.419,40,+00000T21:56:46.604,{"event-data":" 1.817595776395241E+02 05:58:36 "}
PERIAP,Periapsis,BENNU,2021-005T05:08:13.751,40,+00000T00:00:00.000,{"event-data":" 1.038465730436009E+00 1.330279309801198E-01 0.000000000000000E+00 1.172664698320142E+02 2.193665841565970E+01 2.759934835678406E+02 9.304858884243009E+01 1.496296374450243E+02 8.397483131412822E+01 3.370579286547701E+08 6.521507009036525E-01 1.809440054461705E+01 1.795279258318381E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-005T05:30:45.717,40,+00000T00:24:27.894,{"event-data":" 6.504655050771442E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-005T11:09:05.313,40,+00000T05:59:35.051,{"event-data":" 1.569529711925175E+02 18:02:35 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-005T17:01:56.894,41,+00000T13:23:15.991,{"event-data":" 1.047881222747249E+00 1.339558858105965E-01 1.800000000000000E+02 1.183644586562922E+02 2.317395499138268E+01 2.608535741745359E+02 1.113113950903975E+02 2.771071559119706E+02 2.626036894498594E+02 3.369184853447995E+08 9.478199308813433E-01 9.639198257959286E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-005T19:09:57.595,41,+00000T16:01:55.908,{"event-data":" 9.261452572779574E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-006T02:16:29.257,41,+00000T23:34:06.278,{"event-data":" 1.472113891322103E+02 05:54:28 "}
PERIAP,Periapsis,BENNU,2021-006T05:59:22.564,41,+00001T02:46:10.778,{"event-data":" 1.047727537974339E+00 1.230614338792469E-01 0.000000000000000E+00 1.174963957733209E+02 2.412771816020964E+01 2.555981013477728E+02 1.155195926798838E+02 2.610541890981916E+02 7.771627739901039E+01 3.367645547580845E+08 6.908151501704167E-01 2.888198185727522E+02 1.788903839981303E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-006T07:37:37.194,41,+00000T01:46:20.096,{"event-data":" 6.810580177580616E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-006T13:52:31.783,41,+00000T07:54:35.730,{"event-data":" 7.584404570085567E+01 17:58:44 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-006T19:23:14.844,42,+00000T13:26:56.634,{"event-data":" 1.051076939302027E+00 1.306892080177857E-01 1.800000000000000E+02 1.185553956771201E+02 2.417008403281176E+01 2.539560127764723E+02 1.188588968199179E+02 2.308099628175422E+02 2.619991099790061E+02 3.366031576079826E+08 9.555814913289448E-01 9.683326760296160E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-006T22:13:20.121,42,+00000T16:06:46.692,{"event-data":" 9.241914854768127E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-007T05:18:20.751,42,+00000T23:38:13.370,{"event-data":" 4.146639375567123E+01 05:55:00 "}
PERIAP,Periapsis,BENNU,2021-007T08:57:59.957,42,+00000T00:00:00.000,{"event-data":" 1.047925081591319E+00 1.218119402986713E-01 0.000000000000000E+00 1.176533769731857E+02 2.485196888002453E+01 2.549495509398820E+02 1.165386384561519E+02 1.607978021163094E+02 7.753940882513918E+01 3.364372683290370E+08 6.842566621660817E-01 2.738452983237960E+02 1.789289075799472E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-007T10:40:00.258,42,+00000T01:50:30.725,{"event-data":" 6.833799218036688E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-007T16:56:44.082,42,+00000T08:00:11.124,{"event-data":" 3.268248940445756E+02 17:59:17 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-007T22:22:11.528,43,+00000T13:27:18.968,{"event-data":" 1.051400150884963E+00 1.290607037940111E-01 1.800000000000000E+02 1.187144430028143E+02 2.488312938283939E+01 2.533550924078438E+02 1.198062384722242E+02 1.297551027643040E+02 2.618824774731997E+02 3.362712575918849E+08 9.576643170442800E-01 9.687793613071876E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-008T01:16:58.607,43,+00000T16:11:11.873,{"event-data":" 9.219182202549915E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-008T08:20:26.438,43,+00000T23:40:58.160,{"event-data":" 2.953909096691296E+02 05:55:33 "}
PERIAP,Periapsis,BENNU,2021-008T11:57:48.426,43,+00000T00:00:00.000,{"event-data":" 1.047869934676126E+00 1.201842452883123E-01 0.000000000000000E+00 1.178087195084536E+02 2.556806371879566E+01 2.545211928829262E+02 1.173274481265542E+02 5.875318318833549E+01 7.740803793085404E+01 3.361005912992555E+08 6.879621711961008E-01 2.583485517787169E+02 1.788919794001273E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-008T13:42:50.408,43,+00000T01:53:29.835,{"event-data":" 6.855502388768160E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-008T20:00:50.336,43,+00000T08:03:43.013,{"event-data":" 2.179468842198867E+02 17:59:51 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-009T01:22:28.183,44,+00000T13:27:12.507,{"event-data":" 1.051306654318783E+00 1.273120490561844E-01 1.800000000000000E+02 1.188719666358952E+02 2.559869159640301E+01 2.530932218221327E+02 1.204090386498611E+02 2.673987239757562E+01 2.617883136937569E+02 3.359299568236297E+08 9.578075099736703E-01 9.686501400065835E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-009T04:19:53.495,44,+00000T16:13:20.617,{"event-data":" 9.196320709498224E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-009T11:22:14.763,44,+00000T23:40:53.828,{"event-data":" 1.897206983492126E+02 05:56:07 "}
PERIAP,Periapsis,BENNU,2021-009T14:59:07.075,44,+00000T00:00:00.000,{"event-data":" 1.047749215654731E+00 1.186621943764098E-01 0.000000000000000E+00 1.179640815998338E+02 2.629955589628249E+01 2.545752099495739E+02 1.176220483984149E+02 3.143945111782235E+02 7.735327368844025E+01 3.357544940531030E+08 6.908958389782225E-01 2.445621153135728E+02 1.787658050959884E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-009T16:45:26.440,44,+00000T01:55:08.076,{"event-data":" 6.872705771556046E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-009T23:04:19.926,44,+00000T08:06:23.599,{"event-data":" 1.099204066726835E+02 18:00:26 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-010T04:23:52.275,45,+00000T13:27:29.147,{"event-data":" 1.051547445014652E+00 1.258000399120479E-01 1.800000000000000E+02 1.190288060896452E+02 2.632188226970116E+01 2.531207037666843E+02 1.207247976647128E+02 2.821185110730573E+02 2.617270977367926E+02 3.355793426526060E+08 9.458421704524431E-01 9.689829477014631E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-010T07:22:29.473,45,+00000T16:14:41.207,{"event-data":" 9.182730125112443E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-010T14:24:19.960,45,+00000T23:41:55.019,{"event-data":" 8.365335910024797E+01 05:56:40 "}
PERIAP,Periapsis,BENNU,2021-010T18:00:17.613,45,+00000T00:00:00.000,{"event-data":" 1.048069165313416E+00 1.175098052846730E-01 0.000000000000000E+00 1.181154785770018E+02 2.702467099652465E+01 2.545116251205744E+02 1.180370515406681E+02 2.102526134482239E+02 7.728061534617846E+01 3.353993855008718E+08 6.927585647591346E-01 2.336816728184711E+02 1.785866492484862E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-010T19:48:18.720,45,+00000T01:57:00.847,{"event-data":" 6.890776954572314E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-011T02:08:09.891,45,+00000T08:08:45.982,{"event-data":" 1.419220307358552E+00 18:01:01 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2021-011T07:25:19.387,46,+00000T13:27:45.838,{"event-data":" 1.051788932107409E+00 1.244218871116551E-01 1.800000000000000E+02 1.191827916527288E+02 2.705180112652417E+01 2.530868866430039E+02 1.211071503117004E+02 1.774229530144833E+02 2.616621159566167E+02 3.352197163770950E+08 9.558368902704825E-01 9.693167561899003E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2021-011T10:25:31.512,46,+00000T16:16:03.288,{"event-data":" 9.170736743913777E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2021-011T17:26:54.632,46,+00000T23:42:34.070,{"event-data":" 3.368989606922267E+02 05:57:14 "}
PERIAP,Periapsis,BENNU,2021-011T21:02:30.675,46,+00001T02:47:08.301,{"event-data":" 1.048144420676472E+00 1.159035164169675E-01 0.000000000000000E+00 1.182628323923148E+02 2.775696966787911E+01 2.545712842833875E+02 1.183320560078441E+02 1.046158857234291E+02 7.723628195700537E+01 3.350350892222168E+08 7.029692888718939E-01 2.254922424546073E+02 1.783648065197506E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2021-011T22:51:51.798,46,+00000T01:58:25.079,{"event-data":" 6.909442426978204E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2021-012T05:12:18.624,46,+00000T08:10:01.971,{"event-data":" 2.524783997963916E+02 18:01:36 "}
