event_name,description,object_name,event_time,orbit_number,periap_time,event_data
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-345T22:58:12.505,13,+00000T11:49:01.195,{"event-data":" 7.634955260754360E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-346T04:41:54.746,13,+00000T17:55:55.507,{"event-data":" 5.412819302264018E+01 06:09:39 "}
PERIAP,Periapsis,BENNU,2020-346T07:53:42.105,13,+00000T20:32:42.446,{"event-data":" 8.782650997280785E-01 1.361366548930849E-01 0.000000000000000E+00 1.207854544700795E+02 2.116218101001536E+00 2.533640092397032E+02 1.050204866293050E+02 1.976429857014104E+02 7.668940468147177E+01 3.415547392589934E+08 5.215548922773151E-01 1.346224303892098E+02 1.770977995433850E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-346T08:45:23.876,13,+00000T00:57:23.344,{"event-data":" 5.141995546744819E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-346T13:22:03.094,13,+00000T05:28:04.800,{"event-data":" 2.281350032330875E+02 18:12:20 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-346T18:18:18.843,14,+00000T10:23:04.854,{"event-data":" 8.846440729309321E-01 1.519764436825244E-01 1.800000000000000E+02 1.214965499697412E+02 2.167406177751487E+00 2.520115462394566E+02 1.095202124445396E+02 6.402341443209856E+01 2.610618730791094E+02 3.415222330810891E+08 7.917676200111873E-01 7.476970785609724E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-346T19:56:35.539,14,+00000T11:53:44.007,{"event-data":" 7.655209626484523E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-347T01:40:05.644,14,+00000T18:00:00.121,{"event-data":" 9.638775555477147E+01 06:09:41 "}
PERIAP,Periapsis,BENNU,2020-347T04:49:42.600,14,+00000T20:34:13.417,{"event-data":" 8.789851099422927E-01 1.387587884056109E-01 0.000000000000000E+00 1.209200411405462E+02 2.718907266961925E+00 2.531794841216941E+02 1.054803980897566E+02 2.436109699805905E+02 7.645746266411849E+01 3.414876222700388E+08 5.277366655060192E-01 1.375895063698221E+02 1.770319900541449E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-347T05:42:26.289,14,+00000T00:58:25.446,{"event-data":" 5.129159939810810E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-347T10:19:13.279,14,+00000T05:29:17.393,{"event-data":" 2.718013913977122E+02 18:12:20 "}
